n_entries,20,window,2026-07-01..2026-08-03

correlation_matrix,condor,fly,strangle,straddle
condor,1.0,0.918,0.924,0.735
fly,0.918,1.0,0.866,0.875
strangle,0.924,0.866,1.0,0.84
straddle,0.735,0.875,0.84,1.0

pair,correlation,n
condor~fly,0.918,20
condor~strangle,0.924,20
condor~straddle,0.735,20
fly~strangle,0.866,20
fly~straddle,0.875,20
strangle~straddle,0.84,20

structure,total_pnl,avg_pnl,worst_entry,best_entry
condor,-3081.0,-154.0,-14535.0,4182.0
fly,-3759.0,-188.0,-13303.0,4891.0
strangle,60517.0,3026.0,-24393.0,14187.0
straddle,79194.0,3960.0,-19898.0,19690.0
