expiry,entry_date,rank,structure,mgmt,spot_entry,atm_strike,put_wall,call_wall,legs,short_put,short_call,wing_width,credit_pts,credit_inr,max_loss_inr,nights_held,first_breach_ts,first_breach_side,overlay_trigger_ts,overlay_trigger_side,overlay_trigger_spot,settle_spot,settle_debit_pts,costs_inr,worst_mark_inr,pnl_inr
2026-07-07,2026-07-02,T-3,straddle,overlay,24125.6,24150.0,24000.0,24500.0,SC24150@125.3 SP24150@126.65,24150.0,24150.0,,251.9,16377,,3,07-02T04:31,P,07-02T09:50,C,24399,24398.7,248.7,510,-9724,-299
2026-07-07,2026-07-03,T-2,condor,hold,24339.7,24350.0,24000.0,24400.0,SC24400@77.2 LC24500@40.25 SP24000@18.0 LP23900@11.85,24000.0,24400.0,100,43.1,2802,3698,2,07-06T04:52,C,,,,24398.7,0.0,680,-3296,2122
2026-07-07,2026-07-03,T-2,condor,overlay,24339.7,24350.0,24000.0,24400.0,SC24400@77.2 LC24500@40.25 SP24000@18.0 LP23900@11.85,24000.0,24400.0,100,43.1,2802,3698,2,07-06T04:52,C,,,,24398.7,0.0,680,-3296,2122
2026-07-07,2026-07-03,T-2,fly,hold,24339.7,24350.0,24000.0,24400.0,SC24350@101.65 SP24350@102.1 LC24450@56.65 LP24250@62.9,24350.0,24350.0,100,84.2,5473,1027,2,07-03T04:31,P,,,,24398.7,48.7,680,-1362,1627
2026-07-07,2026-07-03,T-2,fly,overlay,24339.7,24350.0,24000.0,24400.0,SC24350@101.65 SP24350@102.1 LC24450@56.65 LP24250@62.9,24350.0,24350.0,100,84.2,5473,1027,2,07-03T04:31,P,07-03T09:50,C,24399,24398.7,48.7,850,-4555,1457
2026-07-07,2026-07-03,T-2,strangle,hold,24339.7,24350.0,24000.0,24400.0,SC24400@77.2 SP24000@18.0,24000.0,24400.0,,95.2,6188,,2,07-06T04:52,C,,,,24398.7,0.0,340,-2222,5848
2026-07-07,2026-07-03,T-2,strangle,overlay,24339.7,24350.0,24000.0,24400.0,SC24400@77.2 SP24000@18.0,24000.0,24400.0,,95.2,6188,,2,07-06T04:52,C,,,,24398.7,0.0,340,-2222,5848
2026-07-07,2026-07-03,T-2,straddle,hold,24339.7,24350.0,24000.0,24400.0,SC24350@101.65 SP24350@102.1,24350.0,24350.0,,203.8,13244,,2,07-03T04:31,P,,,,24398.7,48.7,340,-369,9738
2026-07-07,2026-07-03,T-2,straddle,overlay,24339.7,24350.0,24000.0,24400.0,SC24350@101.65 SP24350@102.1,24350.0,24350.0,,203.8,13244,,2,07-03T04:31,P,07-03T09:50,C,24399,24398.7,48.7,510,-1436,9568
2026-07-07,2026-07-06,T-1,condor,hold,24386.8,24400.0,24300.0,24400.0,SC24400@64.3 LC24500@26.6 SP24300@39.5 LP24200@18.65,24300.0,24400.0,100,58.5,3806,2694,1,07-06T04:52,C,,,,24398.7,0.0,680,-2230,3126
2026-07-07,2026-07-06,T-1,condor,overlay,24386.8,24400.0,24300.0,24400.0,SC24400@64.3 LC24500@26.6 SP24300@39.5 LP24200@18.65,24300.0,24400.0,100,58.5,3806,2694,1,07-06T04:52,C,,,,24398.7,0.0,680,-2230,3126
2026-07-07,2026-07-06,T-1,fly,hold,24386.8,24400.0,24300.0,24400.0,SC24400@64.3 SP24400@79.75 LC24500@26.6 LP24300@39.5,24400.0,24400.0,100,78.0,5067,1433,1,07-06T04:31,P,,,,24398.7,1.3,680,-1161,4302
2026-07-07,2026-07-06,T-1,fly,overlay,24386.8,24400.0,24300.0,24400.0,SC24400@64.3 SP24400@79.75 LC24500@26.6 LP24300@39.5,24400.0,24400.0,100,78.0,5067,1433,1,07-06T04:31,P,07-07T09:50,P,24399,24398.7,1.3,850,-1331,4132
2026-07-07,2026-07-06,T-1,strangle,hold,24386.8,24400.0,24300.0,24400.0,SC24400@64.3 SP24300@39.5,24300.0,24400.0,,103.8,6747,,1,07-06T04:52,C,,,,24398.7,0.0,340,-1780,6407
